Number,Project Title,Donor (s),Status,Start Date,End Date,Country,Ocean-based Region,Beneficiaries ,Implementing Agency,Total Project Cost,Co-funding entities,Category,Team Leader,Further Information
385,Rehabilitation of coral reefs in the damaged areas of Hurghada II,GEF Small Grants Programme,Active,2009,,Egypt,Indian Ocean,,Abu Salama Society,"US$ 78,850","Grant - US$ 45,000; Co-financing - US$ 33,750",Biodiversity,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14600&Itemid=272
386,To strengthen the capacity of St. Vincent and the Grenadines' civil society organisations to addres environmental challenges and to replicate GEF projects ,GEF Small Grants Programme,Active,2014,,Saint Vincent and Grenadines,Atlantic Ocean,,Sustainable Grenadines Inc (SusGren),"US$ 100,000","Grant - US$ 50,000; Co-financing - US$ 50,000",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22477&Itemid=272
387,Promoting an eco-system based approach to fisheries via turtle excluder devices in Malaysia,GEF Small Grants Programme,Active,2014,2017,Malaysia,Indian Ocean,,The Registered Trustees of the Marine Research Foundation,"US$ 223,000","Grant - US$ 148,000, Co-financing - US$ 371,000",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=21805&Itemid=272
388,"Enhancing the resilience of Petite Martinique Fishers to the impacts of climate change, to protect livelihoods and improve food security",GEF Small Grants Programme,Active,2015,2017,Grenada,Atlantic Ocean,,Petite Martinique Fishermen Co-Operative,"US$ 50,000","Grant - US$ 50,000",Climate Change Resilience,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23412&Itemid=272
389,"Restoration of Mangrove, Conservation and Protection of San Antonio Bay, Bataraza, Palawan through establishment and networking of MPAs",GEF Small Grants Programme,Active,2012,2017,Philippines,Indian Ocean,,Bono-Bono Gintong Butil Multi-Purpose Cooperative,"US$ 37,911","Grant - US$ 37,911",Biodiversity,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=18330&Itemid=272
390,Strengthening the water taxi operators capacity to reduce the amount of garbage entering the coastal and marine environment in and around the Tobago Cays Marine Park,GEF Small Grants Programme,Active,2014,,Saint Vincent and Grenadines,International Waters,,Southern Grenadines Water Taxi Association,"US$ 100,000","Grant - US$ 50,000; Co-financing - US$ 50,000",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22567&Itemid=272
391,"Upscaling community-based initiatives on Marine Protected Area Management in Green Island Bay, Roxas, Palawan",GEF Small Grants Programme,Active,2011,,Philippines,Indian Ocean,,Maliit na Mangingisda ng Caramay Multi-Purpose Cooperative,"US$ 45,058","Grant - US$ 42,905; Co-financing - 2,153",Biodiversity,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=16928&Itemid=272
392,Improving the coastal resilience in St Vincent through the re-establishment of coastal vegetation including mangroves,GEF Small Grants Programme,Active,2014,,Saint Vincent and Grenadines,Atlantic Ocean,,Lions Club South,"US $ 3,873","Grant - US$ 2,559; Co-financing - US$ 1,314",Biodiversity,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22589&Itemid=272
393,"Apai, Manono Tai Village marine resources rehabilitation project",GEF Small Grants Programme,Active,2015,2017,Samoa,Pacific Ocean,,Alii ma Faipule Apai Manono Village,"US$ 25,000","Grant - US$ 25,000",Biodiversity,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23798&Itemid=272
394,Community based improvement of local native economical trees stock for income generating,GEF Small Grants Programme,Active,2012,,Vanuatu,Pacific Ocean,,Aniwa Community Reforestation Committee,"US$ 53,190","Grant - US$ 39,800; Co-financing - US$ 13,390",Biodiversity,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=19351&Itemid=272
395,Community based resource management in Ovaka's coastal special management area,GEF Small Grants Programme,Active,2010,,Fiji,Pacific Ocean,,Komiti Fakakolo 'a ovaka,"US$ 55,339","Grant - US$ 48,000; Co-financing - US$ 7,339",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=16496&Itemid=272
396,Building resilience against coastal erosion and sea-level rise at Mourouk,GEF Small Grants Programme,Active,2012,,Mauritius,Indian Ocean,,Mourouk/ Anse Enfer Village Community,"US$ 76,854","Grant - US$ 49,543; Co-financing - US$ 27,311",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=18122&Itemid=272
397,"Protecting sea turtles for development of community-based eco-tourism in Hon Cau marine protected area, Binh Thuan province",GEF Small Grants Programme,Active,2015,2017,Vietnam,Pacific Ocean,,Farmers' Associaton of Tuy Phong district,"US$ 81,583","Grant - US$ 49,867; Co-financing - US$ 31,716",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23966&Itemid=272
398,"Lionfish containment program incorporating structured culling practices, data collection, and promotion for consumption and jewelry",GEF Small Grants Programme,Active,2015,,Grenada,Atlantic Ocean,,Grenada Chamber of Industry and Commerce,"US$ 50,000","Grant - US$ 50,000",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22817&Itemid=272
399,Conservation and protection of Bulaklakin Reef Fish Sanctuary,GEF Small Grants Programme,Active,2011,,Philippines,Indian Ocean,,Anak ng Dagat,"US$ 75,871","Grant - US$ 44,271; Co-financing - US$ 31,600",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=15532&Itemid=272
400,"Fisheries management and mangrove conservation project for Honda Bay, Puerto Princesa City",GEF Small Grants Programme,Active,2012,2013,Philippines,Indian Ocean,,"Honda Bay Boatowners Association, Inc (HOBBAI)","US$ 49,632","Grant - US$ 49,632",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=18136&Itemid=272
401,Community-based coastal ecosystem protection and biodiversity conservation - Badian Bay,GEF Small Grants Programme,Active,2012,2013,Philippines,Indian Ocean,,Zaragosa - Badian Island Multi-Purpose Cooperative,"US$ 45,838","Grant - US$ 45,838",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=17979&Itemid=272
402,Capacity development and network building for Marine Environmental Protection in  NGOs in China,GEF Small Grants Programme,Active,2016,2018,China,Indian Ocean,,Shanghai Rendu Ocean NPO Development Center,"US$ 124,590","Grant - US$ 45,130; Co-financing - US$ 81,460",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=24334&Itemid=272
403,Improving the ecosystem conservation as supported Kulati Village,GEF Small Grants Programme,Active,2013,,Indonesia,Pacific Ocean,,Komunitas Nelayan Tomia,"US$ 34,019","Grant - US$ 17,000; Co-financing - US$ 17,000",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20043&Itemid=272
404,Protection and enhancement of coastal and marine biodiversity In the Polillo Islands,GEF Small Grants Programme,Active,2012,,Philippines,Indian Ocean,,Institute of Social Order,"US$ 45,656","Grant - US$ 45,656",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=17434&Itemid=272
405,Building coastal communities resilience to climate change impacts on water security,GEF Small Grants Programme,Active,2015,,Vanuatu,Pacific Ocean,,Ekipe Health and Water Committee,"US$ 84,750","Grant - US$ 42,350; Co-financing - US$ 42,400",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22430&Itemid=272
406,Supporting alternative livelihoods for the Fisher Communities in the South East Marine Protected Area through Ecotourism Development,GEF Small Grants Programme,Active,2013,,Mauritius,Indian Ocean,,Rodrigues Association Feminine Pecheurs Graviers,"US$ 77,353","Grant - 50,000; Co-financing - US$ 27,353",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=19188&Itemid=272
407,Refforestation initiative and Marine Protected Area - promoting sustainable livelihoods and enhancing local communities management or marine resources,GEF Small Grants Programme,Active,2010,,Vanuatu,Pacific Ocean,,Taule Taule Association,"US$ 38,000","Grant - US$ 38,000",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=16658&Itemid=272
408,Community based adaptation for fisheries dependent communities of Rodrigues,GEF Small Grants Programme,Active,2013,,Mauritius,Indian Ocean,,The Shoals Rodrigues Association,"US$ 57,283","Grant - US$ 28,000; Co-financing - US$ 29.283",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=19671&Itemid=272
409,Building a community-based Marine Protected Area for sustainable marine resources,GEF Small Grants Programme,Active,2013,,Indonesia,Pacific Ocean,,Kelompok Masyarakat Peduli Lingkungan Kecamatan Biduk Biduk,"US$ 52,631","Grant - US$ 26,000; Co-financing - US$ 26,631",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=19518&Itemid=272
410,Strengthening community participation in the protection of the Belize Barrier Reef complex through capacity building and supporting implementation of managed access,GEF Small Grants Programme,Active,2016,2017,Belize,Pacific Ocean,,Wabafu Fishermen Association,"US$ 20,000","Grant - US$ 20,000",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=24415&Itemid=272
411,Optimizing the role of civil society in village management and developing potential ecologicalin support tourism activity,GEF Small Grants Programme,Active,2014,,Indonesia,Indian Ocean/ Pacific Ocean,,Lembaga Pengelola Sumberdaya Terumbu Karang (LPSTK) Desa BENAN,"US$ 33,980","Grant - US$ 26,000; Co-financing - US$ 7,980",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=21296&Itemid=272
412,"Community mobilization to address resource management, conservation and promotion of biodiversity",GEF Small Grants Programme,Active,2005,,Micronesia,Pacific Ocean,,Dini Faruya,"US$ 106,400","Grant - US$ 39,600; Co-financing - US$ 66,800",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=1030400004&Itemid=272
413,Undersea heritage museum I,GEF Small Grants Programme,Active,2015,,Barbados,Atlantic Ocean,,Barbados Marine Trust,"US$ 4,927","Grant - US$ 2,802; Co-financing - US$ 2,125",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23548&Itemid=272
414,Undersea heritage museum II,GEF Small Grants Programme,Active,2016,,Barbados,Atlantic Ocean,,Barbados Marine Trust,"US$ 85,825","Grant - US$ 47,197; Co-financing - US$ 38,628",,,"tracy.phillips@undp.org; davidby@unops.org;

katherine.blackman@undp.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23943&Itemid=272"
415,Lake Tegano Mapping and Conservation Project,GEF Small Grants Programme,Active,2010,,Solomon Islands,Pacific Ocean,,N/A,"US$ 24,180","Grant - US$ 5,000; Co-financing - US$ 19,180",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22102&Itemid=272
416,"Community based resource management and conservation of marine biodiversity in the proposed Tun Mustapha Park, Sabah, Malaysia",GEF Small Grants Programme,Active,2014,2017,Malaysia,Indian Ocean,,World Wide Fund for Nature Malaysia - Borneo Malaysia Programme,"US$ 600,857","Grant - US$ 1489,259; Co-financing - US$ 451,598",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=21846&Itemid=272
417,Networking for watershed management and ecotourism within Sarakata watershed,GEF Small Grants Programme,Active,2015,,Vanuatu,Pacific Ocean,,Eco Friends Networks,"US$ 76,107","Grant - US$ 42,826; Co-financing - US$ 33,281",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22452&Itemid=272
418,Conserving Marine Resource Condition of Hoga Island Based on Eco Tourism,GEF Small Grants Programme,Active,2012,,Indonesia,Indian Ocean/ Pacific Ocean,,Yayasan Pengembangan Potensi Daerah,"US$ 53,960","Grant - US$ 25,000; Co-financing - US$ 28,960",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=18074&Itemid=272
419,Fuailoloo Mulifanua Village Marine Resource Rehabilitation Project,GEF Small Grants Programme,Active,2015,2017,Samoa,Pacific Ocean,,Alii ma Faipule Fuailoloo Mulifanua,"US$ 35,000","Grant - US$ 35,000",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23547&Itemid=272
420,Protection of Marine Resources Through Environmental Awareness Program and Patrolling,GEF Small Grants Programme,Active,2014,2017,Malaysia,Indian Ocean,,"Kelab Belia Banggi, Kudat, Babah (Banggi Youth Club, Kudat, Sabah)","US$ 54,999","Grant - US$ 25,000; Co-financing - US$ 29,999",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22699&Itemid=272
421,Promocao de agricultura de conservacao com vista a mitigar os efeitos de empobrecimento de solos,GEF Small Grants Programme,Active,2015,2017,Mozambique,Indian Ocean,,Associacao Formuta (Forum da Mediciana Tradicional e Alternativa),"US$ 33,820","Grant - US$ 20,150; Co-financing - US$ 13,670",,,"augusto.correia@undp.org;

paula.boane@undp.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23248&Itemid=272"
422,Marine Protected Area,GEF Small Grants Programme,Active,2015,2017,Samoa,Pacific Ocean,,Satuiatua Komiti O Atinae,"US$ 30,000","Grant - US$ 30,000",,,"filia.iosefa@undp.org;

ofusina.ieremia@undp.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23557&Itemid=272"
423,"Mesei: Restoration, Development, and Management of Ngarchelong Taro Fields' Landscapes",GEF Small Grants Programme,Active,2014,2017,Palau,Pacific Ocean,,Palau Resource Institute,"US$ 134,500","Grant - US$ 2,559; Co-financing - US$ 1,314",,,"KiblasS@unops.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=21322&Itemid=272"
424,Turupu Island Coastal Water Management Project,GEF Small Grants Programme,Active,2016,2017,Solomon Islands,Pacific Ocean,,Turupu Island Coastal Water Management Project,"US$ 44,737","Grant - US$ 44,737",,,"josiahm@unops.org; 

Lorraine.bambu@undp.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23813&Itemid=272"
425,"Strengthening Community-Based Biodiversity Conservation Initiatives in Pilar, Cebu",GEF Small Grants Programme,Active,2010,,Philippines,Indian Ocean,,Nagkahiusang Katawhan sa Esperanza,"US$ 43,081","Grant - US$ 43,081",,,"rochelle.villanueva@undp.org;

rodolfo.quicho@undp.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=15844&Itemid=272"
426,Environmental baseline study of Panay and Negros Islands,GEF Small Grants Programme,Active,2007,2008,Philippines,Indian Ocean,,"HARIBON-Foundation, Inc.","US$ 64,947","Grant - US$ 50,000; Co-financing - US$ 14,947",,,"rochelle.villanueva@undp.org;

rodolfo.quicho@undp.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=11550&Itemid=272"
427,Sustainable and Integrated Management of Forest and Marine Resources In Sakau Island,GEF Small Grants Programme,Active,2014,2016,Vanuatu,Pacific Ocean,,Noketakole Association,"US$ 69,303","Grant - US$ 36,300; Co-financing - US$ 33,003",,,"
waya.nombong@gmail.com; 

LeahN@unops.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22371&Itemid=272"
428,Navutulevu coral reef resilience project,GEF Small Grants Programme,Active,2012,,Fiji,Pacific Ocean,,Navutulevu Development Committee,"US$ 56,730","Grant - US$ 44,230; Co-financing - US$ 12,500",,,"arthur.sokimi@undp.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=17622&Itemid=272"
429,Enhancing Mangrove and Coral Ecosystems via Active Reforestation/Restoration Efforts and Structured Training Activities in the Stann Creek District,GEF Small Grants Programme,Active,2014,2017,Belize,Pacific Ocean,,Fragments of Hope Ltd,"US$ 102,711","Grant - US$ 25,000; Co-financing - US$ 77,711",,,"lisa@btl.net; 

leonel.requena@undp.org

https://sgp.undp.org/index.php?searchword=coral&searchphrase=all&Itemid=10&option=com_search&limitstart=60"
430,Improve Coral Reefs Biodiversity Through the Promoting of Reef Recovery Involving Local Communities,GEF Small Grants Programme,Active,2014,2016,Malaysia,Indian Ocean,,TRACC BORNEO SDN BHD,"US$ 391,963","Grant - US$ 50,000; Co-financing - US$ 341,963",,,"prof.mauri@rocketmail.com

shin.shin.lee@undp.org

lai.sook.mei@undp.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22505&Itemid=272"
431,"Towards the establishment of a Multiple Use National Park as an integrated planning and management framework from ridge to reef and as a means of addressing soil erosion, reducing sewage pollution, practicing coral reef rehabilitation and the development and promotion of livelihoods in the community of Canaries, Saint Lucia",GEF Small Grants Programme,Active,2015,,Saint Lucia,Atlantic Ocean,,Canaries Community Improvment Foundation,"US$ 159,386","Grant - US$ 44,998; Co-financing - US$ 114,388",,,"marantoine@candw.lc

gilesr@unops.org

anelapjm@unops.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23611&Itemid=272"
432,Modelo para la sostenibilidad de proyectos de conservación y restauración en los arrecifes de coral,GEF Small Grants Programme,Active,2015,,Dominican Republic,Atlantic Ocean,,"Fundación Dominicana de Estudios Marinos, Inc","US$ 65,839","Grant - US$ 27,428; Co-financing - US$ 38,411",,,"ibonnelly@gmail.com

asanchez@ppsdom.org

Norisa@unops.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22964&Itemid=272"
433,"Management, protection and development of coastal coral ecosystem, development of community-based eco-tourism in Nhon Hai commune, Quy Nhon city, Binh dinh province",GEF Small Grants Programme,Active,2015,2017,Vietnam,Pacific Ocean,,Fisheries Association of Binh Dinh Province,"US$ 106,476","Grant - US$ 47,978; Co-financing - US$ 58,498",,,"huuhaoqn@gmail.com

 nguyen.thi.thu.huyen@undp.org

 pham.thi.hong.khuyen@undp.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23578&Itemid=272"
434,RMI: Bikirin Island Conservation and Restoration Demonstration Project,GEF Small Grants Programme,Active,2009,,Micronesia,Pacific Ocean,,Enemanit-Latuma Extended Family Association,"US$ 65,000","Grant - US$ 48,000; Co-financing - US$ 17,000",,,"pattersons@unops.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=16482&Itemid=272"
435,"Return Trees for Mountain and Mangrove, Return Seagrasses for Dugongs",GEF Small Grants Programme,Active,2015,2017,Thailand,Indian Ocean,,Sea Concern Group,"US$ 138,441","Grant - US$ 24,677; Co-financing - US$ 113,764",,,"c-hannarong1@hotmail.co.th

thadthana.luengthada@undp.org

suwimol.sereepaowong@undp.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23889&Itemid=272"
436,Strengthening the role of fishermen in the sustainable management of marine resources in the Bunaken National Park - North Sulawesi,GEF Small Grants Programme,Active,2013,,Indonesia,Pacific Ocean,,Kelompok Pengelola Sumberdaya Alam,"US$ 72,997","Grant - US$ 25,000; Co-financing - US$ 47,997",,"
","rignolda@gmail.com

dwihastarini@sgp-indonesia.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20041&Itemid=272"
437,Loa Community Mangrove Conservation Project,GEF Small Grants Programme,Active,2010,,Solomon Islands,Pacific Ocean,,Loa Community Mangrove Replanting Project,"US$ 2,000","Grant - US$ 2,000",,,"josiahm@unops.org

Lorraine.bambu@undp.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=16438&Itemid=272"
438,Projet de restauration de la mangrove du terroir de mounde phase consolidation,GEF Small Grants Programme,Active,2015,2017,Senegal,Atlantic Ocean,,GIE NINDOOR DE MOUNDE,"US$ 82,193","Grant - US$ 41,291; Co-financing - US$ 40,902",,,"khatarymb@unops.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23091&Itemid=272"
439,Saving the mangrove ecosystem (spp. rhizophora stylosa) within Moata'a Village through establishment of the area as a conservation site,GEF Small Grants Programme,Active,2005,,Samoa,Pacific Ocean,,Moataa - Komiti a Tina ma Tamaitai,"US$ 34,157","Grant - US$ 19,157; Co-financing - US$ 15,000",,,"filia.iosefa@undp.org

ofusina.ieremia@undp.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9188&Itemid=272"
440,Gestao comunitaria da floresta de mangal e promocao de actividades alternativas de subsistencia do distrito de mussoril,GEF Small Grants Programme,Active,2013,,Mozambique,Indian Ocean,,CDR - ASSOCIACAO MOCAMBICAN DE GESTAO DE RECURSOS NATURAIS E DESENVOLVIMENTO COMUNITARIO,"US$ 43,005","Grant - US$ 20,205; Co-financing - US$ 22,800",,,"DFNICA@gmail.com

augusto.correia@undp.org

paula.boane@undp.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20000&Itemid=272"
441,Sustainable management of mangrove/wetland and enhancing island vegetation,GEF Small Grants Programme,Active,2012,,Maldives,Indian Ocean,,Society for Kendhikulhudhoo Island Development,"US$ 28,861","Grant - US$ 26,710; Co-financing - US$ 2,151",,,"fathimath.saeedha@undp.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=19303&Itemid=272"
442,Conservation of Mangrove Ecosystem and Coastal Resources of the Vailoa Mangrove Conservation Area,GEF Small Grants Programme,Active,2014,,Samoa,Pacific Ocean,,Pulenuu ma Komiti Vailoa Faleata,"US$ 50,000","Grant - US$ 50,000",,,"filia.iosefa@undp.org

ofusina.ieremia@undp.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22829&Itemid=272"
443,Rehabilitation and Protection of the Degrading Mangrove in Sapapalii,GEF Small Grants Programme,Active,2015,2017,Samoa,Pacific Ocean,,Sosaiete Sapapalii,"US$ 35,000","Grant - US$ 35,000",,,"filia.iosefa@undp.org

ofusina.ieremia@undp.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23558&Itemid=272"
444,"Zabana Community-Mangrove Management, Conservation and Ecotourism",GEF Small Grants Programme,Active,2015,,Solomon Islands,Pacific Ocean,,Zabana Landowners Association,"US$ 47,612","Grant - US$ 45,000; Co-financing - US$ 2,612",,"

","josiahm@unops.org

Lorraine.bambu@undp.org

https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23812&Itemid=272"
445,Extending Research Experiences to Bay Area Science Teachers and Youth,Gordon and Betty Moore Foundation,Active,2016,2017,USA,Pacific Ocean,,"Stanford University, Office of Science Outreach ","US$ 48,600",,,,https://www.moore.org/grant-detail?grantId=GBMF5470
446,An Ecosystem Services Approach to Informing Planning and Conservation for a Resilient San Francisco Bay Area Coastline,Gordon and Betty Moore Foundation,Active,2016,2018,USA,Pacific Ocean,,"Stanford University, Woods Institute for the Environment","US$ 1,000,000",,,,https://www.moore.org/grant-detail?grantId=GBMF5599
447,Sea anemone and coral stress resilience ,Gordon and Betty Moore Foundation,Active,2014,2017,USA,Pacific Ocean,,"Stanford University, School of Medicine","US$ 2,031,000","Stanford University, School of Medicine","Sustainability, predicting causes of stress",,https://www.moore.org/grant-detail?grantId=GBMF2629.01
448,Marine Park Aruba,BEST,Active,2016,2019,Aruba,Pacific Ocean,Aruba Government; Directorate on Nature and Environment,The Netherlands Organization for Applied Scientific Research (TNO),"US$ 399,485","BEST Grant - US$ 334,994; Co-financing - US$ 64,491","Marine park, key biodiversity areas, MPA surveillance, ecotourism",,http://ec.europa.eu/environment/nature/biodiversity/best/pdf/marine_park_aruba_en.pdf
449,BIOPELAGOS: Biodiversity of Oceanic Pelagic Ecosystems for A Better Conservation and Management of Outstanding Natural Areas,BEST,Active,2016,2019,"New Caledonia, Wallis and Futuna",Indian Ocean/ Pacific Ocean,,Pacific Community (SPC),"US$ 911,254","BEST Grant - US$ 449,938; Co-financing - US$ 461,316","Marine biodiversity, marine ecosystems, sustainable management, scientific knowledge, capacity-building, policy guidance, evidence-based decision making",,http://ec.europa.eu/environment/nature/biodiversity/best/pdf/fs_biopelagos_en.pdf
450,Pacific Biodiversity Blue Belt,BEST,Active,2016,2018,"French Polynesia, New Caledonia, Pitcairn, Wallis and Futuna",Pacific Ocean,,Secretariat of the Pacific Regional Environment Programme (SPREP),"US$ 496,099","BEST Grant - US$ 449,784; Co-financing - US$ 3,685","MPA planning, MPA management, MPA surveillance, ecotourism. ",,http://ec.europa.eu/environment/nature/biodiversity/best/pdf/fs_pacific_blue_belt_en.pdf
451,Towards the management and consolidation  of the public property in the Térraba-Sierpe National Wetland buffer zone,Marisla (1st USA-CRC Debt of Nature Swap),Active,2014,2018,Costa Rica,Pacific Ocean,"Osa Conservation Area, Conservation Areas National System, Ministry of Environment and Energy","MarViva Foundation, Osa Conservation Area","about US$ 335,000","MarViva Foundation, Osa Conservation Area","Marco Castro, GIS specialist, geographer",,http://marviva.net/es/proyectos/hacia-el-ordenamiento-y-la-consolidacion-de-la-propiedad-publica-sobre-las-tierras-del
452,Restoration of Ecosystem Services and Coral reef Quality (RESCQ),BEST,Active,2015,2017,"Saint Maarten, Saint Eustatius, Saba, Turks and Caicos",Pacific Ocean,,Wageningen Marine Research,,"EU grant - US$ 345,625","Elkhorn coral, Staghorn coral, coral nurseries, coral fragments, transplantation, coral restoration facility",,
453,Biodiversity and sustainable management of the marine and coastal environment and related resources in the context of climate change in Wallis and Futuna,BEST,Active,2016,2018,Wallis and Futuna,Pacific Ocean,,Service Territorial de L-Environment,,"EU grant - US$ 103,151","Mangrove protection, inventory, awareness-raising, integrated coastal zone management",,
454,BIOT Environmental Interpretation and Education Project,BEST,Active,2015,2017,BIOT,Indian Ocean,,BIOT Administration,,"EU grant - US$ 97,303","Snorkel trail, sustainability amenity use, awareness raising",,
455,Management of invasive lionfish hotspots: conservation of biodiversity on mesophotic coral ecosystems in Bermuda,BEST,Active,2016,2018,Bermuda,Indian Ocean,,Bermuda Institute of Ocean Sciences (BIOS),,"EU grant - US$  105,307","Invasive species, Lionsifh control, targeted removal, Lionfish fishery",,
456,Understanding the East Caicos KBA 's Corals and coast : A key to safeguarding TCI's future,BEST,Active,2016,2018,Turks and Caicos,Indian Ocean,,Turks and Caicos Reef Fund (TCRF),,"EU grant - US$ 54,521","Reef ecosystems, conservation and sustainable use, conservation zones, management and monitoring protocols",,
457,"Hei Moana, Les Sentinelles de L'Ocean",BEST,Active,2016,2018,French Polynesia,Pacific Ocean,,Te Mana O Te Moana,,"EU grant - US$ 54,568","Marine education, training, public involvement, observation and collection of marine data",,
458,Capacity building and increased financing for long term monitoring programmes for coral reefs in the Turks and Caicos Islands,BEST,Active,2016,2018,Turks and Caicos,Indian Ocean,,Wolfs Company,,"EU grant - US$ 54,532","Coral reef monitoring, capacity building, management of coral reef, science-based decision making, identifying financing streams",,
459,Scaling-up efforts to rehabilitate threatened coral communities using recruits reared from wild-caught gametes,BEST,Active,2016,2018,Curacao,Indian Ocean,,Caribbean Research and Management of Biodiversity Foundation (CARMAB),,"EU grant - US$ 99,885","Coral reef ecosystems, coral gametes, transplanting, coral tile, conservation, resilience",,
460,Restoration of Key Biodiversity Areas of St. Maarten (plant),BEST,Active,2016,2018,Saint Maarten,Indian Ocean,,,,"EU grant - US$ 54,505","The project will restore coastal and terrestrial biodiversity by planting native tree species at ecologically degraded sites - two terrestrial and one coastal wetland - on St. Maarten. After restoration, the saplings will be cared for and monitored. A citizen-science initiative will integrate student volunteers who can learn valuable skills and knowledge regarding botany, restoration ecology, and conservation issues. Long-term care of the sites will be formalized through written agreements with appropriate stakeholders.",,
461,"Improving the management of the invasive lionfish, Pterois volitans, by determining movement patterns and depth preference",BEST,Active,2016,2018,Cayman Islands,Indian Ocean,,Central Caribbean Marine Institute,,"EU grant - US$ 109,001","Invasive species, Lionfish control strategy, Lionfish removal",,
462,Managing Mangroves and Production Landscapes for Climate Change Mitigation,GEF (GEF 6),,,,Guinea-Bissau,Atlantic Ocean,,,,,,,
463,"un projet régional GCF qui sera de nature très côtière, donc qui touchera de facto des écosystèmes lagunaires et/ou coralliens.",GCF ,,,,,Océanie,,,,,,,
